201308203-T-16-37-35_063.jpg
x,y,label
268,90,5
138,256,5
402,345,5
63,505,2
166,765,5
180,903,5
55,986,5
398,1100,3
179,1497,5
160,1519,5
636,192,0
471,188,5
516,411,5
819,418,5
524,794,3
740,744,5
467,975,3
502,957,5
680,1270,5
789,1485,2
1076,198,5
1131,290,5
994,607,5
1182,513,2
841,686,5
1057,809,5
1171,1049,3
871,1138,5
876,1344,5
1094,1232,3
1395,151,2
1534,263,5
1294,435,3
1429,459,3
1619,646,5
1446,855,5
1619,1111,5
1544,1151,5
1227,1339,3
1543,1334,5
1842,71,2
1862,48,4
1891,443,5
1796,566,5
1795,669,3
1667,655,5
1750,1121,5
1947,950,5
1785,1500,5
1716,1265,4
