201308203-T-16-53-58_079.jpg
x,y,label
94,83,5
352,181,5
269,415,5
144,555,3
198,705,5
94,890,3
283,1022,3
359,1139,5
198,1317,3
204,1377,3
785,200,5
489,54,3
738,556,5
528,582,5
797,758,4
467,686,5
684,927,4
456,1124,3
812,1301,4
594,1364,4
891,25,2
1091,293,5
1218,339,5
836,518,5
935,646,5
988,872,4
1039,977,4
998,1133,4
1053,1273,4
829,1385,4
1419,216,2
1442,256,3
1575,501,5
1597,353,3
1297,727,5
1322,848,3
1312,1099,4
1615,1122,5
1489,1226,5
1348,1375,5
1851,14,5
1679,282,3
1974,447,5
1636,338,3
1865,867,3
1974,641,3
1839,1023,5
1833,982,5
1910,1425,3
1959,1235,5
