201308203-T-16-21-30_020.jpg
x,y,label
39,32,3
342,232,3
300,317,2
213,456,3
24,825,3
274,786,5
396,1093,3
198,976,5
24,1514,4
226,1325,5
709,58,5
511,27,4
707,335,4
626,414,4
454,883,5
673,630,3
560,1032,3
575,1209,5
477,1353,5
468,1385,5
1062,215,5
1100,82,3
1145,408,5
1127,482,5
962,892,5
933,668,3
1202,991,5
938,1069,5
950,1264,5
1168,1270,5
1310,102,5
1351,162,5
1534,415,5
1526,504,4
1476,751,4
1401,868,4
1558,1177,5
1341,1192,5
1299,1226,5
1579,1373,3
1954,68,2
1756,32,5
1980,391,3
1770,333,3
1925,901,3
1804,633,4
1873,1036,5
1791,1171,5
1892,1327,5
1890,1248,3
