201308203-T-17-39-46_172.jpg
x,y,label
336,137,5
352,73,5
83,355,5
252,383,5
172,693,5
326,757,5
361,1131,5
157,1103,5
337,1401,5
410,1407,4
795,28,5
715,259,5
440,323,5
588,444,5
507,857,5
623,850,5
588,1144,5
502,1112,5
715,1261,5
701,1388,5
862,227,5
1039,270,5
1188,539,5
835,601,5
839,841,5
1090,806,5
1102,979,5
937,1142,5
1142,1321,5
847,1251,5
1293,116,5
1419,26,5
1338,429,5
1345,588,5
1311,712,5
1371,797,5
1502,1151,5
1243,1206,5
1464,1522,4
1430,1287,5
1968,144,5
1770,94,5
1640,400,5
1860,326,5
2021,684,5
1697,616,4
1932,1004,5
1789,1194,5
1839,1341,5
1821,1246,5
